Assuming 9 as type relation
Loading files... 
  Starting de_pl_tri.txt
  Finished de_pl_tri.txt, still running: 0
Loaded 716044 facts in 6.02 s using -46 MB
Using HeadCoverage as pruning metric with minimum threshold 0.001
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.01
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 1 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?g  equalTo  ?b  ?m  http://dbpedia.org/ontology/artist  ?a  ?t  http://dbpedia.org/ontology/artist  ?g  ?m  http://dbpedia.org/ontology/subsequentWork  ?t   => ?a  equalTo  ?b	0.001496826	0.867629362	0.867629362	721	831	831	-2
?g  equalTo  ?b  ?m  http://dbpedia.org/ontology/artist  ?a  ?s  http://dbpedia.org/ontology/artist  ?g  ?s  http://dbpedia.org/ontology/subsequentWork  ?m   => ?a  equalTo  ?b	0.001496826	0.865546218	0.865546218	721	833	833	-2
?g  equalTo  ?b  ?m  http://dbpedia.org/ontology/artist  ?a  ?s  http://dbpedia.org/ontology/artist  ?g  ?s  http://dbpedia.org/ontology/previousWork  ?m   => ?a  equalTo  ?b	0.001478141	0.863030303	0.863030303	712	825	825	-2
?s  equalTo  ?n  ?s  http://dbpedia.org/ontology/artist  ?a  ?g  http://dbpedia.org/ontology/artist  ?b  ?g  http://dbpedia.org/ontology/previousWork  ?n   => ?a  equalTo  ?b	0.001278841	0.778761062	0.826845638	616	791	745	-2
?s  equalTo  ?n  ?s  http://dbpedia.org/ontology/artist  ?a  ?g  http://dbpedia.org/ontology/artist  ?b  ?g  http://dbpedia.org/ontology/subsequentWork  ?n   => ?a  equalTo  ?b	0.001158431	0.764383562	0.818181818	558	730	682	-2
?m  equalTo  ?t  ?m  http://dbpedia.org/ontology/artist  ?a  ?g  http://dbpedia.org/ontology/artist  ?b  ?t  http://dbpedia.org/ontology/subsequentWork  ?g   => ?a  equalTo  ?b	0.001214484	0.790540541	0.836909871	585	740	699	-2
?m  equalTo  ?t  ?m  http://dbpedia.org/ontology/artist  ?a  ?g  http://dbpedia.org/ontology/artist  ?b  ?t  http://dbpedia.org/ontology/previousWork  ?g   => ?a  equalTo  ?b	0.001148051	0.79226361	0.844274809	553	698	655	-2
?t  equalTo  ?g  ?m  http://dbpedia.org/ontology/artist  ?a  ?g  http://dbpedia.org/ontology/artist  ?b  ?m  http://dbpedia.org/ontology/previousWork  ?t   => ?a  equalTo  ?b	0.001013108	0.814691152	0.856140351	488	599	570	-2
?s  equalTo  ?g  ?m  http://dbpedia.org/ontology/artist  ?a  ?g  http://dbpedia.org/ontology/artist  ?b  ?s  http://dbpedia.org/ontology/subsequentWork  ?m   => ?a  equalTo  ?b	0.00100688	0.819256757	0.861456483	485	592	563	-2
Mining done in 21 min, 37 s
Total time 21 min, 43 s
86 rules mined.
