Assuming 9 as type relation
Loading files... 
  Starting sel_fw.txt
  Finished sel_fw.txt, still running: 0
Loaded 882061 facts in 8.53 s using -181 MB
Using HeadCoverage as pruning metric with minimum threshold 0.001
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.01
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 1 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?m  Place  ?a  ?a  Place  ?h  ?m  Place  ?h  ?m  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	1	1	4736	4736	4736	-2
?a  Place  ?h  ?m  Place  ?h  ?m  Place  ?t  ?t  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	0.98094449	0.98094449	4736	4828	4828	-2
?a  Previous episode  ?h  ?h  Series  ?n  ?s  Series  ?n  ?s  equalTo  ?b   => ?a  equalTo  ?b	0.001176782	0.017844038	0.017844038	462	25891	25891	-2
?a  Producer  ?h  ?m  Producer  ?h  ?m  Recorded by  ?h  ?m  equalTo  ?b   => ?a  equalTo  ?b	0.002208377	0.178065311	0.178065311	867	4869	4869	-2
?a  Leader of  ?h  ?a  Leader of  ?v  ?h  Leader of  ?v  ?h  equalTo  ?b   => ?a  equalTo  ?b	0.005371935	0.999526066	0.999526066	2109	2110	2110	-2
?u  Leader of  ?a  ?a  Leader of  ?h  ?h  equalTo  ?b  ?u  equalTo  ?b   => ?a  equalTo  ?b	0.005371935	1	1	2109	2109	2109	-2
?a  Leader of  ?h  ?u  Leader of  ?h  ?h  equalTo  ?b  ?u  equalTo  ?b   => ?a  equalTo  ?b	0.005371935	0.999526066	0.999526066	2109	2110	2110	-2
?a  Leader of  ?h  ?h  Leader of  ?u  ?h  equalTo  ?b  ?u  equalTo  ?b   => ?a  equalTo  ?b	0.005371935	0.999526066	0.999526066	2109	2110	2110	-2
?a  Leader of  ?h  ?u  Leader of  ?h  ?h  Leader of  ?u  ?h  equalTo  ?b   => ?a  equalTo  ?b	0.005371935	0.999526066	0.999526066	2109	2110	2110	-2
?h  Leader of  ?a  ?a  Leader of  ?h  ?h  Leader of  ?n  ?n  equalTo  ?b   => ?a  equalTo  ?b	0.005371935	0.943202147	0.943202147	2109	2236	2236	-2
